cell_size_m,210.099
rows,216,cols,34
,,,,,-8.53,-11.611,-12.667,-9.883,-14.836,-14.76,-19.583,-17.234,-15.39,-12.45,-14.657,-16.069,-10.171,-4.48,-4.485,-5.356,0.787,4.914,,,,,,,,,,,
,,,,,-12.063,-9.146,-9.954,-13.0,-14.243,-15.807,-18.394,-15.618,-12.931,-9.303,-9.087,-10.375,-8.328,-5.516,-0.462,1.912,10.404,10.95,,,,,,,,,,,
,,,,,-5.346,-9.158,-17.869,-12.333,-3.797,-11.55,-20.704,-20.852,-15.9,-9.094,-6.566,-5.519,-5.288,1.257,11.286,20.904,26.283,25.784,,,,,,,,,,,
,,,,,-4.116,-11.551,-14.556,-9.521,-11.144,-16.145,-19.726,-18.697,-13.21,-12.79,-13.782,-7.627,4.666,14.313,19.576,26.971,27.622,25.339,24.791,,,,,,,,,,
,,,,,-11.958,-10.915,-8.417,-8.659,-14.61,-13.936,-12.406,-8.396,-9.938,-7.561,-10.533,-5.729,5.685,16.112,22.584,26.463,27.438,26.626,26.611,,,,,,,,,,
,,,,,-10.667,-6.74,-3.361,-7.166,-6.281,-9.554,-7.241,-7.398,1.236,3.811,1.866,2.695,5.987,14.345,15.199,17.251,22.633,19.273,17.39,,,,,,,,,,
,,,,,-2.54,1.839,-2.476,-6.803,-6.766,-7.034,-6.727,9.802,14.7,0.081,2.76,5.732,10.66,16.224,13.527,14.406,15.186,13.787,5.418,,,,,,,,,,
,,,,,3.313,-1.25,-1.54,-4.639,-4.192,-9.025,-4.579,10.849,-14.66,-15.676,-1.776,4.18,9.514,13.142,10.284,8.72,10.231,2.319,-5.581,,,,,,,,,,
,,,,,7.792,3.755,-1.03,-4.931,-5.291,-9.25,-0.39,8.939,-11.395,-8.425,-0.041,5.193,10.322,10.578,8.816,4.936,2.861,-4.029,-7.884,,,,,,,,,,
,,,,,,1.844,-0.637,-2.399,-6.962,-7.417,2.128,-7.891,-18.577,-12.571,2.312,4.537,6.32,6.025,1.561,-0.219,-3.985,-13.269,-13.29,,,,,,,,,,
,,,,,,-1.678,-4.578,-3.691,0.683,-1.683,-0.907,-7.109,-7.556,13.659,21.887,18.887,6.427,4.47,-0.075,-5.96,-6.213,-12.177,-13.205,,,,,,,,,,
,,,,,,0.255,-5.751,-4.934,-8.314,-5.306,-1.909,3.334,20.771,29.058,27.41,20.544,12.302,4.774,1.173,-4.787,-5.636,-8.54,-13.258,,,,,,,,,,
